time,t1,time_t1,t2,time_t2,t3,time_t3,average_temperature,heater_on,fan_on,execution_interval,elapsed
1731087255557110059,20.25,1731087255476591753,20.312,1731087255516623250,20.187,1731087255556659598,20.281,False,False,3.0,1.3144021034240723
1731087258536626059,20.25,1731087258436726547,20.25,1731087258536232795,20.187,1731087258477226507,20.25,False,False,3.0,1.2937390804290771
1731087261556910540,20.25,1731087261516464895,20.25,1731087261476638700,20.25,1731087261556490851,20.25,False,False,3.0,1.3123373985290527
1731087264556893096,20.25,1731087264436658224,20.25,1731087264556467017,20.25,1731087264516510810,20.25,False,False,3.0,1.3112225532531738
1731087267516933806,20.25,1731087267396625000,20.25,1731087267516517484,20.187,1731087267476506987,20.25,False,False,3.0,1.2706856727600098
1731087270556841588,20.25,1731087270556447263,20.25,1731087270476324718,20.25,1731087270516243769,20.25,False,False,3.0,1.3088734149932861
1731087273557893107,20.25,1731087273476613687,20.25,1731087273516609698,20.187,1731087273557523687,20.25,False,False,3.0,1.3096985816955566
1731087276526656128,20.25,1731087276486449891,20.25,1731087276437358722,20.187,1731087276526319704,20.25,False,False,3.0,1.2778382301330566
1731087279516875255,20.25,1731087279396666343,20.25,1731087279516450558,20.25,1731087279476498037,20.25,False,False,3.0,1.266920566558838
1731087282557098314,20.25,1731087282436603403,20.25,1731087282556546382,20.187,1731087282516533212,20.25,False,False,3.0,1.3053598403930664
1731087285556830734,20.25,1731087285516644148,20.25,1731087285476727882,20.187,1731087285556339890,20.25,False,False,3.0,1.304497480392456
1731087288556951338,20.25,1731087288436609939,20.312,1731087288556524786,20.187,1731087288516604341,20.281,False,False,3.0,1.3035998344421387
1731087291557819406,20.25,1731087291476606882,20.25,1731087291516720140,20.187,1731087291557378428,20.25,False,False,3.0,1.3036930561065674
1731087294516707150,20.25,1731087294436593789,20.25,1731087294476614999,20.187,1731087294516330093,20.25,False,False,3.0,1.2608177661895752
1731087297556939743,20.312,1731087297476583080,20.312,1731087297516495830,20.187,1731087297556528409,20.312,False,False,3.0,1.2992746829986572
1731087300597152998,20.25,1731087300556497359,20.25,1731087300516626909,20.187,1731087300596630964,20.25,False,False,3.0,1.3377337455749512
1731087303556977187,20.312,1731087303476608536,20.25,1731087303516608081,20.187,1731087303556526964,20.281,False,False,3.0,1.2958614826202393
1731087306557146429,20.25,1731087306436653647,20.25,1731087306556656966,20.187,1731087306516551252,20.25,False,False,3.0,1.294245719909668
1731087309556835772,20.25,1731087309556466026,20.25,1731087309516475362,20.187,1731087309476602824,20.25,False,False,3.0,1.292172908782959
1731087312637708046,20.25,1731087312557406197,20.25,1731087312637289560,20.187,1731087312516677301,20.25,False,False,3.0,1.371312141418457
1731087315556905516,20.25,1731087315476646453,20.25,1731087315516569852,20.187,1731087315556475622,20.25,False,False,3.0,1.2899901866912842
1731087318557230089,20.25,1731087318436710442,20.25,1731087318556754807,20.187,1731087318516499316,20.25,False,False,3.0,1.2885935306549072
1731087321557825706,20.25,1731087321476597619,20.312,1731087321516638142,20.187,1731087321557420699,20.281,False,False,3.0,1.287442684173584
1731087324516936980,20.25,1731087324477213482,20.25,1731087324436603748,20.187,1731087324516492567,20.25,False,False,3.0,1.2458069324493408
1731087327557114640,20.25,1731087327476606242,20.25,1731087327516473256,20.187,1731087327556692428,20.25,False,False,3.0,1.2841804027557373
1731087330556706665,20.25,1731087330436637175,20.25,1731087330556372451,20.187,1731087330516585936,20.25,False,False,3.0,1.2825345993041992
1731087333567115777,20.25,1731087333476677598,20.312,1731087333516650178,20.187,1731087333566666028,20.281,False,False,3.0,1.2912192344665527
1731087336596997383,20.25,1731087336556637392,20.25,1731087336596525097,20.187,1731087336516598578,20.25,False,False,3.0,1.3193330764770508
