time,plant_time,heater_on,fan_on,lower_bound,upper_bound,t_heater,ubound_h,lbound_h
1731411153296078000,1731411153245093543,True,False,36.5,37.75,20.99089569477568,58.0277927287442,57.222335648756726
1731411156263369000,1731411156205976263,True,True,36.5,37.75,22.37819690344767,58.0277927287442,57.222335648756726
1731411159334510000,1731411159215098506,True,True,36.5,37.75,23.75038531773414,58.0277927287442,57.222335648756726
1731411162304028000,1731411162195233702,True,True,36.5,37.75,25.106827525514316,58.0277927287442,57.222335648756726
1731411165273754000,1731411165206018785,True,True,36.5,37.75,26.450648963216544,58.0277927287442,57.222335648756726
1731411168345769000,1731411168245176445,True,True,36.5,37.75,27.783582830562448,58.0277927287442,57.222335648756726
1731411171315368000,1731411171205968178,True,True,36.5,37.75,29.102274576554574,58.0277927287442,57.222335648756726
1731411174284915000,1731411174195329728,True,True,36.5,37.75,30.41469392714088,58.0277927287442,57.222335648756726
1731411177272673000,1731411177235189391,True,True,36.5,37.75,31.71684335034275,58.0277927287442,57.222335648756726
1731411180319718000,1731411180274935253,True,True,36.5,37.75,33.011302066327,58.0277927287442,57.222335648756726
1731411183232470000,1731411183195250186,True,True,36.5,37.75,34.28927796216137,58.0277927287442,57.222335648756726
1731411186243106000,1731411186195306130,True,True,36.5,37.75,35.573892115084554,58.0277927287442,57.222335648756726
1731411189338517000,1731411189195134680,True,True,36.5,37.75,36.85949091918343,58.0277927287442,57.222335648756726
1731411192309938000,1731411192195244334,True,True,36.5,37.75,38.13592698248265,58.0277927287442,57.222335648756726
1731411195242791000,1731411195195091689,True,True,36.5,37.75,39.41094752725714,58.0277927287442,57.222335648756726
1731411198262707000,1731411198205975957,True,True,36.5,37.75,40.68760236662209,58.0277927287442,57.222335648756726
1731411201253280000,1731411201205268742,True,True,36.5,37.75,41.95929044259457,58.0277927287442,57.222335648756726
1731411204391630000,1731411204235292571,True,True,36.5,37.75,43.22940952360077,58.0277927287442,57.222335648756726
1731411207360685000,1731411207235191285,True,True,36.5,37.75,44.501063110268696,58.0277927287442,57.222335648756726
1731411210319333000,1731411210235292506,True,True,36.5,37.75,45.772414918123594,58.0277927287442,57.222335648756726
1731411213433007000,1731411213375112892,True,True,36.5,37.75,47.04148494514244,58.0277927287442,57.222335648756726
1731411216371909000,1731411216235069521,True,True,36.5,37.75,48.306436677599095,58.0277927287442,57.222335648756726
1731411219341460000,1731411219235208450,True,True,36.5,37.75,49.57618863019915,58.0277927287442,57.222335648756726
1731411222823108000,1731411222235342638,True,True,36.5,37.75,50.837872202148446,58.0277927287442,57.222335648756726
1731411225273010000,1731411225215269217,True,True,36.5,37.75,52.100779082710744,58.0277927287442,57.222335648756726
1731411228302909000,1731411228245388560,True,True,36.5,37.75,53.35776756506815,58.0277927287442,57.222335648756726
1731411231322373000,1731411231245319568,True,True,36.5,37.75,54.617941030222326,58.0277927287442,57.222335648756726
1731411234394453000,1731411234275225042,True,True,36.5,37.75,55.879107916268,58.0277927287442,57.222335648756726
1731411237366769000,1731411237235257616,True,True,36.5,37.75,57.13426956128886,58.0277927287442,57.222335648756726
1731411240292863000,1731411240245186971,False,True,36.5,37.75,58.38228574137657,58.0277927287442,57.222335648756726
1731411243252693000,1731411243195248548,False,True,36.5,37.75,58.22631997928817,58.0277927287442,57.222335648756726
1731411246375448000,1731411246235176400,False,True,36.5,37.75,58.084868222717155,58.0277927287442,57.222335648756726
