time,t1,time_t1,t2,time_t2,t3,time_t3,average_temperature,heater_on,fan_on,execution_interval,elapsed
1731411120195589955,20.375,1731411120074920640,20.437,1731411120195109493,20.062,1731411120114869980,20.406,False,False,3.0,1.2746613025665283
1731411123245244412,20.437,1731411123244706135,20.437,1731411123165333788,20.062,1731411123115061095,20.437,False,False,3.0,1.3225255012512207
1731411126195692013,20.375,1731411126155318174,20.5,1731411126074951809,20.062,1731411126195182403,20.4375,False,False,3.0,1.2712373733520508
1731411129235335661,20.375,1731411129114919031,20.437,1731411129234942570,20.062,1731411129195079378,20.406,False,False,3.0,1.3091061115264893
1731411132195249347,20.375,1731411132074906884,20.5,1731411132194804070,20.062,1731411132154859990,20.4375,False,False,3.0,1.268871545791626
1731411135205338851,20.375,1731411135114973652,20.437,1731411135154980473,20.062,1731411135204837759,20.406,False,False,3.0,1.2773001194000244
1731411138165366175,20.437,1731411138074977883,20.437,1731411138114809186,20.125,1731411138164946953,20.437,False,False,3.0,1.2355601787567139
1731411141275192740,20.437,1731411141194899339,20.5,1731411141234963678,20.125,1731411141274813148,20.4685,False,False,3.0,1.3443515300750732
1731411144235131924,20.437,1731411144114947888,20.5,1731411144154775301,20.125,1731411144234786647,20.4685,False,False,3.0,1.303680419921875
1731411147205346864,20.437,1731411147204808569,20.5,1731411147114963240,20.125,1731411147164864359,20.4685,False,False,3.0,1.2729899883270264
1731411150235483068,20.437,1731411150074883527,20.5,1731411150195756025,20.125,1731411150235068402,20.4685,False,False,3.0,1.3021082878112793
1731411153245093543,20.437,1731411153165530826,20.5,1731411153244655081,20.125,1731411153204833334,20.4685,False,False,3.0,1.3099651336669922
1731411156205976263,20.437,1731411156074962949,20.5,1731411156205386708,20.125,1731411156155055479,20.4685,True,True,3.0,1.2691137790679932
1731411159215098506,20.437,1731411159165412035,20.5,1731411159114974769,20.125,1731411159214649488,20.4685,True,True,3.0,1.2763962745666504
1731411162195233702,20.437,1731411162075658924,20.5,1731411162154916845,20.125,1731411162194733110,20.4685,True,True,3.0,1.2556860446929932
1731411165206018785,20.5,1731411165164899336,20.562,1731411165205631230,20.125,1731411165114989422,20.531,True,True,3.0,1.2646539211273193
1731411168245176445,20.562,1731411168194776864,20.687,1731411168155333987,20.125,1731411168244807556,20.6245,True,True,3.0,1.3033897876739502
1731411171205968178,20.625,1731411171124911279,20.75,1731411171164809581,20.125,1731411171205369901,20.6875,True,True,3.0,1.262441873550415
1731411174195329728,20.75,1731411174075007712,20.937,1731411174155033112,20.125,1731411174194854210,20.8435,True,True,3.0,1.2500073909759521
1731411177235189391,20.875,1731411177124945487,21.062,1731411177234725762,20.125,1731411177194718831,20.9685,True,True,3.0,1.2880454063415527
1731411180274935253,21.0,1731411180154951959,21.25,1731411180235857783,20.125,1731411180274624717,21.125,True,True,3.0,1.3260130882263184
1731411183195250186,21.187,1731411183114916509,21.25,1731411183154891496,20.125,1731411183194769631,21.2185,True,True,3.0,1.2459745407104492
1731411186195306130,21.375,1731411186074949451,21.625,1731411186155827054,20.125,1731411186194882690,21.5,True,True,3.0,1.2456936836242676
1731411189195134680,21.562,1731411189154933726,21.937,1731411189114997665,20.125,1731411189194759126,21.7495,True,True,3.0,1.2437210083007812
1731411192195244334,21.75,1731411192074948128,22.125,1731411192194753860,20.125,1731411192155545176,21.9375,True,True,3.0,1.2423088550567627
1731411195195091689,22.0,1731411195114981946,22.375,1731411195154721186,20.125,1731411195194724671,22.1875,True,True,3.0,1.2417006492614746
1731411198205975957,22.25,1731411198074962609,22.687,1731411198205474669,20.125,1731411198164795172,22.4685,True,True,3.0,1.2522914409637451
1731411201205268742,22.5,1731411201114975977,22.937,1731411201166065343,20.125,1731411201204766342,22.7185,True,True,3.0,1.2512273788452148
1731411204235292571,22.75,1731411204155065219,23.25,1731411204194860653,20.125,1731411204234805986,23.0,True,True,3.0,1.279449701309204
1731411207235191285,23.062,1731411207114908910,23.562,1731411207234764234,20.125,1731411207194870296,23.312,True,True,3.0,1.2789907455444336
1731411210235292506,23.375,1731411210194798756,23.875,1731411210234838641,20.125,1731411210154927529,23.625,True,True,3.0,1.278186321258545
1731411213375112892,23.625,1731411213275102151,24.25,1731411213314798785,20.125,1731411213374758595,23.9375,True,True,3.0,1.4162375926971436
1731411216235069521,23.937,1731411216195328324,24.562,1731411216234633025,20.125,1731411216155688325,24.2495,True,True,3.0,1.2745676040649414
1731411219235208450,24.25,1731411219114899848,25.0,1731411219234831488,20.125,1731411219194818147,24.625,True,True,3.0,1.2739460468292236
1731411222235342638,24.562,1731411222154933827,25.312,1731411222194813795,20.125,1731411222234830368,24.937,True,True,3.0,1.273376226425171
1731411225215269217,24.937,1731411225154852095,25.687,1731411225214830184,20.125,1731411225114901139,25.312,True,True,3.0,1.252706527709961
