time,plant_time,heater_on,fan_on,lower_bound,upper_bound,t_heater,ubound_h,lbound_h
1731601819733610000,1731601819721090852,True,False,36.5,37.75,20.98696413243861,55.92857567331954,55.24484505021523
1731601822731969000,1731601822721201123,True,True,36.5,37.75,22.150012141086954,55.92857567331954,55.24484505021523
1731601825781507000,1731601825731196883,True,True,36.5,37.75,23.297229507262735,55.92857567331954,55.24484505021523
1731601828731402000,1731601828721224532,True,True,36.5,37.75,24.424783127927284,55.92857567331954,55.24484505021523
1731601831782078000,1731601831761415928,True,True,36.5,37.75,25.53310027717934,55.92857567331954,55.24484505021523
1731601835100283000,1731601834771216832,True,True,36.5,37.75,26.626788138346285,55.92857567331954,55.24484505021523
1731601837732469000,1731601837721879229,True,True,36.5,37.75,27.703666871422357,55.92857567331954,55.24484505021523
1731601840691781000,1731601840682180641,True,True,36.5,37.75,28.752471818079,55.92857567331954,55.24484505021523
1731601843804137000,1731601843721223814,True,True,36.5,37.75,29.789621632326007,55.92857567331954,55.24484505021523
1731601846727597000,1731601846681242174,True,True,36.5,37.75,30.818152587081432,55.92857567331954,55.24484505021523
1731601849847356000,1731601849731344726,True,True,36.5,37.75,31.825407034260685,55.92857567331954,55.24484505021523
1731601852815667000,1731601852721392866,True,True,36.5,37.75,32.79898938431946,55.92857567331954,55.24484505021523
1731601855731326000,1731601855721147882,True,True,36.5,37.75,33.78844332885228,55.92857567331954,55.24484505021523
1731601858731386000,1731601858721020308,True,True,36.5,37.75,34.762072239669855,55.92857567331954,55.24484505021523
1731601861826852000,1731601861721207566,True,True,36.5,37.75,35.73019906302053,55.92857567331954,55.24484505021523
1731601864772210000,1731601864761496700,True,True,36.5,37.75,36.69109250896162,55.92857567331954,55.24484505021523
1731601867741436000,1731601867731243065,True,True,36.5,37.75,37.637354537697135,55.92857567331954,55.24484505021523
1731601870840741000,1731601870761257483,True,True,36.5,37.75,38.58561136374672,55.92857567331954,55.24484505021523
1731601873809119000,1731601873731179172,True,True,36.5,37.75,39.52768766285414,55.92857567331954,55.24484505021523
1731601876731230000,1731601876721079910,True,True,36.5,37.75,40.462415788281724,55.92857567331954,55.24484505021523
1731601879787595000,1731601879721448946,True,True,36.5,37.75,41.38860055545085,55.92857567331954,55.24484505021523
1731601882735085000,1731601882721250144,True,True,36.5,37.75,42.316514340968936,55.92857567331954,55.24484505021523
1731601885732413000,1731601885721218475,True,True,36.5,37.75,43.233119108422684,55.92857567331954,55.24484505021523
1731601888759420000,1731601888731298792,True,True,36.5,37.75,44.13281162260471,55.92857567331954,55.24484505021523
1731601891821327000,1731601891811287172,True,True,36.5,37.75,45.026751757387835,55.92857567331954,55.24484505021523
1731601894771635000,1731601894761307461,True,True,36.5,37.75,45.90354881897453,55.92857567331954,55.24484505021523
1731601897769206000,1731601897721255335,True,True,36.5,37.75,46.784742374883045,55.92857567331954,55.24484505021523
1731601900771578000,1731601900761209788,True,True,36.5,37.75,47.658188472883225,55.92857567331954,55.24484505021523
1731601903751533000,1731601903741372605,True,True,36.5,37.75,48.52867282636696,55.92857567331954,55.24484505021523
1731601906771729000,1731601906761268870,True,True,36.5,37.75,49.37055097063536,55.92857567331954,55.24484505021523
1731601909852688000,1731601909761229687,True,True,36.5,37.75,50.240078501261145,55.92857567331954,55.24484505021523
1731601912823439000,1731601912771470999,True,True,36.5,37.75,51.10394560782251,55.92857567331954,55.24484505021523
1731601915790362000,1731601915771546752,True,True,36.5,37.75,51.96659322527942,55.92857567331954,55.24484505021523
1731601918966066000,1731601918851247073,True,True,36.5,37.75,52.827337445616685,55.92857567331954,55.24484505021523
1731601921742578000,1731601921721288250,True,True,36.5,37.75,53.68547538951548,55.92857567331954,55.24484505021523
1731601924781058000,1731601924771253468,True,True,36.5,37.75,54.531252884021804,55.92857567331954,55.24484505021523
1731601927874546000,1731601927721302787,True,True,36.5,37.75,55.3791332068764,55.92857567331954,55.24484505021523
1731601930844529000,1731601930761202312,False,True,36.5,37.75,56.21905410405557,55.92857567331954,55.24484505021523
1731601933815699000,1731601933761147510,False,True,36.5,37.75,55.88475094529013,55.92857567331954,55.24484505021523
1731601936772478000,1731601936761382993,False,True,36.5,37.75,55.56977149526538,55.92857567331954,55.24484505021523
