time,t1,time_t1,t2,time_t2,t3,time_t3,average_temperature,heater_on,fan_on,execution_interval,elapsed
1731602014801349079,36.5,1731602014681609481,37.687,1731602014760734832,20.375,1731602014800844067,37.0935,False,True,3.0,1.2508363723754883
1731602017801236274,36.562,1731602017720933962,37.75,1731602017800826339,20.437,1731602017760870955,37.156,False,True,3.0,1.2488908767700195
1731602020801298787,36.687,1731602020760812980,37.875,1731602020800806553,20.375,1731602020680941207,37.281,False,True,3.0,1.248581886291504
1731602023801225884,36.75,1731602023760865520,37.937,1731602023800815930,20.437,1731602023720972705,37.3435,False,True,3.0,1.2467074394226074
1731602026841183443,36.812,1731602026840808175,38.0,1731602026760991425,20.375,1731602026800964357,37.406,False,True,3.0,1.2848553657531738
1731602029801208700,36.875,1731602029760698085,38.0,1731602029721634782,20.437,1731602029800726708,37.4375,True,True,3.0,1.2440338134765625
1731602032841172111,36.937,1731602032682322154,38.062,1731602032840702618,20.375,1731602032801539753,37.4995,False,True,3.0,1.2839210033416748
1731602035801298978,37.0,1731602035760913191,38.125,1731602035800858375,20.437,1731602035721001786,37.5625,False,True,3.0,1.2422854900360107
1731602038841001590,37.062,1731602038760951286,38.187,1731602038800758840,20.375,1731602038840638044,37.6245,False,True,3.0,1.2801504135131836
1731602041801213238,37.125,1731602041761760281,38.25,1731602041800811506,20.375,1731602041721027646,37.6875,False,True,3.0,1.2385973930358887
1731602044801414973,37.125,1731602044681068692,38.25,1731602044760861708,20.375,1731602044800995648,37.6875,False,True,3.0,1.238051414489746
1731602047821272610,37.187,1731602047720934928,38.312,1731602047820836377,20.375,1731602047760836180,37.7495,False,True,3.0,1.2568409442901611
1731602050841291461,37.187,1731602050840854210,38.312,1731602050760962640,20.375,1731602050800827729,37.7495,True,True,3.0,1.2750635147094727
1731602053851503060,37.25,1731602053720922779,38.375,1731602053851091902,20.375,1731602053801094455,37.8125,False,True,3.0,1.2849464416503906
1731602056811188897,37.312,1731602056680895742,38.375,1731602056760832196,20.437,1731602056810823018,37.8435,False,True,3.0,1.2435710430145264
1731602059841146188,37.312,1731602059840716233,38.375,1731602059721112196,20.375,1731602059800883487,37.8435,False,True,3.0,1.2717232704162598
1731602062801237993,37.375,1731602062680935670,38.437,1731602062800825334,20.437,1731602062762120520,37.906,False,True,3.0,1.2311687469482422
1731602065851929088,37.375,1731602065721472878,38.437,1731602065851531282,20.375,1731602065811269575,37.906,False,True,3.0,1.2808680534362793
1731602068841310135,37.375,1731602068800875161,38.437,1731602068840911347,20.375,1731602068761072350,37.906,False,True,3.0,1.2699353694915771
1731602071891108298,37.437,1731602071800954503,38.437,1731602071890719973,20.375,1731602071840943229,37.937,True,True,3.0,1.3196475505828857
1731602074800853062,37.437,1731602074680989860,38.5,1731602074800609815,20.437,1731602074761727910,37.9685,False,True,3.0,1.2276158332824707
1731602077841356066,37.5,1731602077720944341,38.5,1731602077800851377,20.437,1731602077840935648,38.0,False,True,3.0,1.2663044929504395
1731602080841333579,37.437,1731602080801312307,38.5,1731602080840903735,20.437,1731602080760987526,37.9685,False,True,3.0,1.2644643783569336
1731602083841250266,37.5,1731602083720918988,38.5,1731602083800840833,20.437,1731602083840834737,38.0,False,True,3.0,1.2626008987426758
1731602086881137088,37.5,1731602086801777769,38.5,1731602086840877192,20.437,1731602086880775394,38.0,False,True,3.0,1.3015646934509277
1731602089841316289,37.5,1731602089720950491,38.5,1731602089800867959,20.437,1731602089840815628,38.0,False,True,3.0,1.2600061893463135
1731602092841044942,37.5,1731602092800903821,38.562,1731602092761014595,20.437,1731602092840682877,38.031,True,True,3.0,1.257890224456787
1731602095851235856,37.562,1731602095720919790,38.562,1731602095800903771,20.437,1731602095850852921,38.062,False,True,3.0,1.2662267684936523
1731602098841229349,37.562,1731602098800950144,38.5,1731602098760941224,20.437,1731602098840787356,38.031,False,True,3.0,1.2544176578521729
1731602101841247198,37.562,1731602101720936459,38.5,1731602101800887896,20.437,1731602101840877244,38.031,False,True,3.0,1.2526350021362305
1731602104841385651,37.562,1731602104800967029,38.562,1731602104761000623,20.437,1731602104840985455,38.062,False,True,3.0,1.250971794128418
1731602107841164971,37.562,1731602107721016238,38.562,1731602107801782243,20.437,1731602107840716255,38.062,False,True,3.0,1.249805212020874
1731602110841747666,37.562,1731602110761733971,38.5,1731602110841368527,20.437,1731602110801024791,38.031,True,True,3.0,1.2485835552215576
1731602113881349809,37.562,1731602113800945487,38.5,1731602113840819954,20.437,1731602113880808999,38.031,False,True,3.0,1.2871410846710205
1731602116841340333,37.562,1731602116760934691,38.5,1731602116800935720,20.5,1731602116840837672,38.031,False,True,3.0,1.2453522682189941
