time,t1,time_t1,t2,time_t2,t3,time_t3,average_temperature,heater_on,fan_on,execution_interval,elapsed
1731091055596902323,25.812,1731091055556520814,26.25,1731091055476604803,20.437,1731091055596488468,26.031,True,True,3.0,1.2722840309143066
1731091058596987833,26.0,1731091058516713059,26.5,1731091058556623306,20.437,1731091058596492607,26.25,True,True,3.0,1.2705857753753662
1731091061637683622,26.187,1731091061557384015,26.75,1731091061596458867,20.437,1731091061637317731,26.4685,True,True,3.0,1.3109688758850098
1731091064596953993,26.437,1731091064516570977,27.062,1731091064596454119,20.437,1731091064556557224,26.7495,True,True,3.0,1.2685070037841797
1731091067636835335,26.687,1731091067596343380,27.312,1731091067636430517,20.437,1731091067556580894,26.9995,True,True,3.0,1.3072993755340576
1731091070607078706,26.875,1731091070556519425,27.625,1731091070516731105,20.375,1731091070606499128,27.25,True,True,3.0,1.2758212089538574
1731091073636929861,27.187,1731091073556599475,27.937,1731091073596489454,20.437,1731091073636483297,27.562,True,True,3.0,1.3038825988769531
1731091076596983181,27.5,1731091076516612712,28.25,1731091076556550833,20.437,1731091076596546579,27.875,True,True,3.0,1.2621839046478271
1731091079646819353,27.75,1731091079557766498,28.562,1731091079606731950,20.375,1731091079646437063,28.156,True,True,3.0,1.3102128505706787
1731091082756915108,28.0,1731091082677301421,28.937,1731091082756493357,20.437,1731091082716492618,28.4685,True,True,3.0,1.4185757637023926
1731091085636906566,28.312,1731091085556980352,29.187,1731091085596579019,20.437,1731091085636482815,28.7495,True,True,3.0,1.2969200611114502
1731091088637041395,28.625,1731091088516753536,29.562,1731091088636550482,20.437,1731091088596681261,29.0935,True,True,3.0,1.2953166961669922
1731091091636886993,28.875,1731091091597411456,29.937,1731091091556787527,20.437,1731091091636480351,29.406,True,True,3.0,1.293384313583374
1731091094636895564,29.25,1731091094516592971,30.25,1731091094596541549,20.437,1731091094636476553,29.75,True,True,3.0,1.2932305335998535
